year,market_Cap_Filter,sector_Filter,industry_Filter,company_Size_Filter,symbol
1962,Billion_Dollar_Company,Technology,"Information Technology Services","10 Thousand +",XRX
1962,Billion_Dollar_Company,"Consumer Cyclical","Auto Parts","50 Thousand +",GT
1962,10_Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","10 Thousand +",AEP
1962,100_Billion_Dollar_Company,Industrials,Conglomerates,"50 Thousand +",HON
1972,100_Billion_Dollar_Company,Technology,Semiconductors,"Lakh +",INTC
1972,100_Billion_Dollar_Company,Technology,Semiconductors,"10 Thousand +",TXN
1972,100_Billion_Dollar_Company,"Consumer Defensive",Beverages—Non-Alcoholic,"Lakh +",PEP
1973,100_Million_Dollar_Company,"Consumer Cyclical","Apparel Manufacturing","5 Thousand +",SGC
1973,100_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","5 Thousand +",PKOH
1973,100_Million_Dollar_Company,"Consumer Defensive","Farm Products","Hundred +",ALCO
1973,100_Million_Dollar_Company,"Consumer Defensive","Grocery Stores","Thousand +",VLGEA
1973,100_Million_Dollar_Company,Industrials,"Building Products & Equipment","Less Than Hundred",APOG
1973,Billion_Dollar_Company,Utilities,"Utilities—Regulated Water","Hundred +",MSEX
1973,Billion_Dollar_Company,"Basic Materials","Specialty Chemicals","Hundred +",WDFC
1973,Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Thousand +",KLIC
1973,Billion_Dollar_Company,Utilities,Utilities—Diversified,"Thousand +",OTTR
1973,Billion_Dollar_Company,Technology,"Electronics & Computer Distribution","10 Thousand +",AVT
1973,Billion_Dollar_Company,Technology,Semiconductors,"5 Thousand +",DIOD
1973,Billion_Dollar_Company,"Consumer Defensive",Beverages—Non-Alcoholic,"10 Thousand +",COKE
1973,10_Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","Thousand +",LNT
1973,10_Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","Thousand +",EVRG
1973,10_Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","5 Thousand +",TER
1973,10_Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","10 Thousand +",XEL
1973,10_Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","10 Thousand +",EXC
1975,100_Million_Dollar_Company,"Financial Services",Insurance—Life,"Hundred +",NWLI
1976,Billion_Dollar_Company,"Consumer Defensive","Household & Personal Products","Less Than Hundred",HELE
1976,Billion_Dollar_Company,"Consumer Cyclical",Leisure,"10 Thousand +",MAT
1977,100_Million_Dollar_Company,Industrials,"Industrial Distribution","Hundred +",TRNS
1978,10_Million_Dollar_Company,Technology,Software—Application,"Hundred +",TSRI
1978,10_Billion_Dollar_Company,Technology,"Computer Hardware","50 Thousand +",WDC
1979,10_Billion_Dollar_Company,Energy,"Oil & Gas E&P","Thousand +",APA
1980,10_Million_Dollar_Company,Energy,"Oil & Gas Midstream","Less Than Hundred",MARPS
1980,10_Million_Dollar_Company,Industrials,"Farm & Heavy Construction Machinery","Hundred +",ARTW
1980,10_Million_Dollar_Company,"Communication Services",Publishing,"Hundred +",EDUC
1980,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",DOMH
1980,10_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",SFE
1980,10_Million_Dollar_Company,Energy,"Oil & Gas E&P","Less Than Hundred",USEG
1980,10_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",RAND
1980,10_Million_Dollar_Company,Technology,"Consumer Electronics","Less Than Hundred",KOSS
1980,10_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Hundred +",KEQU
1980,10_Million_Dollar_Company,"Consumer Defensive","Household & Personal Products","Less Than Hundred",UG
1980,10_Million_Dollar_Company,"Basic Materials",Gold,"Less Than Hundred",USAU
1980,10_Million_Dollar_Company,"Financial Services",Insurance—Life,"Hundred +",AAME
1980,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ABEO
1980,10_Million_Dollar_Company,"Financial Services","Capital Markets","Hundred +",SIEB
1980,10_Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Thousand +",FARM
1980,10_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",FEIM
1980,10_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Hundred +",VIRC
1980,10_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","Hundred +",TAYD
1980,10_Million_Dollar_Company,"Communication Services",Publishing,"Thousand +",LEE
1980,10_Million_Dollar_Company,"Consumer Cyclical",Lodging,"Less Than Hundred",INTG
1980,10_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Less Than Hundred",FLXS
1980,10_Million_Dollar_Company,"Basic Materials",Steel,"Hundred +",ACNT
1980,100_Million_Dollar_Company,Industrials,Trucking,"10 Thousand +",YELL
1980,100_Million_Dollar_Company,Technology,"Information Technology Services","Thousand +",CTG
1980,100_Million_Dollar_Company,Industrials,"Tools & Accessories","Thousand +",EML
1980,100_Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Hundred +",BRID
1980,100_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","Hundred +",TWIN
1980,100_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Thousand +",BSET
1980,100_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","Hundred +",HURC
1980,100_Million_Dollar_Company,Energy,"Oil & Gas E&P","Hundred +",PNRG
1980,100_Million_Dollar_Company,"Consumer Cyclical",Leisure,"Hundred +",ESCA
1980,100_Million_Dollar_Company,"Consumer Cyclical","Footwear & Accessories","Hundred +",WEYS
1980,100_Million_Dollar_Company,Technology,"Communication Equipment","Thousand +",CMTL
1980,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",AROW
1980,100_Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Thousand +",SENEB
1980,100_Million_Dollar_Company,Industrials,"Pollution & Treatment Controls","Thousand +",CECO
1980,100_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Thousand +",KBAL
1980,100_Million_Dollar_Company,Industrials,"Electrical Equipment & Parts","Thousand +",POWL
1980,100_Million_Dollar_Company,Industrials,"Aerospace & Defense","Thousand +",ATRO
1980,100_Million_Dollar_Company,Technology,"Electronic Components","Thousand +",AMOT
1980,100_Million_Dollar_Company,Industrials,"Staffing & Employment Services","5 Thousand +",KELYA
1980,100_Million_Dollar_Company,"Financial Services","Asset Management","Less Than Hundred",CSWC
1980,100_Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Thousand +",UFCS
1980,100_Million_Dollar_Company,"Basic Materials","Specialty Chemicals","Hundred +",HWKN
1980,100_Million_Dollar_Company,"Basic Materials","Building Materials","Hundred +",USLM
1980,100_Million_Dollar_Company,Industrials,"Industrial Distribution","Thousand +",DSGR
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",WABC
1980,Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",ATRI
1980,Billion_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","10 Thousand +",MLKN
1980,Billion_Dollar_Company,Technology,Semiconductors,"Thousand +",SMTC
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",TRMK
1980,Billion_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","10 Thousand +",PATK
1980,Billion_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Thousand +",COHU
1980,Billion_Dollar_Company,Technology,Software—Application,"Thousand +",AGYS
1980,Billion_Dollar_Company,Utilities,"Utilities—Regulated Electric","Less Than Hundred",MGEE
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",UMBF
1980,Billion_Dollar_Company,"Real Estate",REIT—Specialty,"Thousand +",PCH
1980,Billion_Dollar_Company,Industrials,"Specialty Industrial Machinery","5 Thousand +",FELE
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"5 Thousand +",BPOP
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"10 Thousand +",ZION
1980,Billion_Dollar_Company,"Consumer Cyclical",Restaurants,"Thousand +",WEN
1980,Billion_Dollar_Company,"Consumer Defensive","Household & Personal Products","10 Thousand +",NWL
1980,Billion_Dollar_Company,"Consumer Defensive","Packaged Foods","Thousand +",LANC
1980,Billion_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Thousand +",SIGI
1980,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",CBSH
1980,Billion_Dollar_Company,"Consumer Cyclical",Leisure,"5 Thousand +",HAS
1980,10_Billion_Dollar_Company,"Real Estate","REIT—Hotel & Motel","Hundred +",HST
1980,10_Billion_Dollar_Company,Healthcare,"Drug Manufacturers—Specialty & Generic","10 Thousand +",VTRS
1980,10_Billion_Dollar_Company,Industrials,"Specialty Industrial Machinery","5 Thousand +",NDSN
1980,10_Billion_Dollar_Company,"Financial Services","Insurance—Property & Casualty","5 Thousand +",CINF
1980,10_Billion_Dollar_Company,"Financial Services",Banks—Regional,"10 Thousand +",HBAN
1980,10_Billion_Dollar_Company,"Financial Services","Asset Management","10 Thousand +",NTRS
